SpotPriceEURperKWh
0.21597
0.23972
0.24303
0.25494
0.24943
0.21585
0.18704
0.1559
0.1389
0.1404
0.15074
0.17492
0.1765
0.17731
0.18204
0.18694
0.19495
0.195
0.20132
0.19743
0.1922
0.19756
0.1997
0.206
