SpotPriceEURperKWh
0.22894
0.25321
0.26177
0.27023
0.26994
0.24996
0.21899
0.19799
0.19554
0.19489
0.19729
0.19579
0.20024
0.20607
0.2327
0.25596
0.25596
0.23626
0.19119
0.18704
0.18512
0.18408
0.18209
0.1845
