scenario_id,aggregator_type,alignment,est_threshold,lst_threshold,max_group_size,baseline_cost,aggregated_cost,savings,scenario_time,NrOfFlexOffers
82,0,2,2,2,50,52.3165,37.8392,14.4773,0.230993,50
83,0,2,2,2,50,107.741,69.5194,38.2215,1.863,100
84,0,2,2,2,50,218.517,166.261,52.2565,14.9639,200
85,0,2,4,4,5,11.6706,5.64648,6.02416,0.00210689,10
86,0,2,4,4,5,52.3165,41.3095,11.007,0.213841,50
87,0,2,4,4,5,107.741,86.1927,21.5482,1.69605,100
88,0,2,4,4,5,218.517,174.814,43.7035,14.113,200
89,0,2,4,4,10,11.6706,3.49881,8.17183,0.00217866,10
90,0,2,4,4,10,52.3165,41.3095,11.007,0.224267,50
91,0,2,4,4,10,107.741,86.0502,21.6907,1.81933,100
92,0,2,4,4,10,218.517,174.814,43.7035,14.7194,200
93,0,2,4,4,50,11.6706,3.49881,8.17183,0.00235978,10
94,0,2,4,4,50,52.3165,29.0776,23.2389,0.234653,50
95,0,2,4,4,50,107.741,60.9895,46.7514,1.94374,100
96,0,2,4,4,50,218.517,166.261,52.2565,14.9781,200
97,0,2,6,6,5,11.6706,5.64648,6.02416,0.00226703,10
98,0,2,6,6,5,52.3165,41.3095,11.007,0.219487,50
99,0,2,6,6,5,107.741,86.1927,21.5482,1.68252,100
100,0,2,6,6,5,218.517,174.814,43.7035,14.8394,200
101,0,2,6,6,10,11.6706,3.49881,8.17183,0.00237068,10
102,0,2,6,6,10,52.3165,41.3095,11.007,0.254301,50
103,0,2,6,6,10,107.741,86.0502,21.6907,2.06727,100
104,0,2,6,6,10,218.517,174.814,43.7035,15.8051,200
105,0,2,6,6,50,11.6706,3.49881,8.17183,0.00224988,10
106,0,2,6,6,50,52.3165,24.0843,28.2322,0.239867,50
107,0,2,6,6,50,107.741,60.9895,46.7514,1.90498,100
108,0,2,6,6,50,218.517,166.261,52.2565,15.3325,200
109,1,0,2,2,5,11.6706,9.33651,2.33413,0.0023533,10
110,1,0,2,2,5,52.3165,41.8532,10.4633,0.224641,50
111,1,0,2,2,5,107.741,86.1927,21.5482,1.73523,100
112,1,0,2,2,5,218.517,174.814,43.7035,14.6899,200
113,1,0,2,2,10,11.6706,9.33651,2.33413,0.00224205,10
114,1,0,2,2,10,52.3165,41.8532,10.4633,0.227461,50
115,1,0,2,2,10,107.741,86.1927,21.5482,1.87236,100
116,1,0,2,2,10,218.517,174.814,43.7035,15.6128,200
117,1,0,2,2,50,11.6706,9.33651,2.33413,0.00238383,10
118,1,0,2,2,50,52.3165,41.8532,10.4633,0.261829,50
119,1,0,2,2,50,107.741,86.1927,21.5482,1.97462,100
120,1,0,2,2,50,218.517,174.814,43.7035,15.4229,200
121,1,0,4,4,5,11.6706,9.33651,2.33413,0.00231034,10
